model,mse_log_rv,mae_log_rv,qlike_variance,directional_accuracy,window,common_months,rmse_log_rv
AR1,0.17740472830812667,0.3278500341911894,0.5973566218197708,0.6796116504854369,571,103,0.4211944067863754
AR3,0.18905648874515382,0.3308898272336578,0.7108223066867145,0.6601941747572816,571,103,0.4348062657611477
ARMAX,0.1974932836068534,0.3332962500753075,0.6837329100574074,0.7087378640776699,571,103,0.44440216426886736
CRL,0.1890793562542314,0.3306960679933681,0.7118841430580689,0.6699029126213593,571,103,0.43483256117065494
CRLX,0.1777053786117566,0.3248281179588349,0.6232773982362687,0.6660194174757281,571,103,0.42155115776351104
HAR,0.18799130660906013,0.3296130419815677,0.7312488917467103,0.6407766990291263,571,103,0.43357964275212474
HARX,0.1717498841869569,0.3142140608317962,0.6183150207387558,0.6990291262135923,571,103,0.4144271759754142
LSTM,0.20258933546253982,0.3415542726382486,0.8243358974071818,0.6310679611650486,571,103,0.45009925067982487
LSTMX,0.18711718969845198,0.3259672155824692,0.6694227109524603,0.6485436893203883,571,103,0.43257044478148526
Persistence,0.23024033571724928,0.3794485752412072,0.7248329042073823,0.038834951456310676,571,103,0.47983365421492613
QR1,0.18130001524282383,0.3205508511820273,0.6174415487535241,0.6912621359223301,571,103,0.42579339502019503
QR2,0.17454233151340023,0.31983119776078356,0.601372270150159,0.6660194174757281,571,103,0.4177826366825221
AR1,0.18095962458080064,0.32390248017620016,0.7292049743895201,0.7087378640776699,120,103,0.4253934938157854
AR3,0.19217449736265468,0.3318231102968389,0.8040843472325243,0.6601941747572816,120,103,0.438377117745275
ARMAX,0.25192236186186684,0.38027665721721576,0.8944318203968614,0.6407766990291263,120,103,0.5019186805269025
CRL,0.1921149358568142,0.3318468188247751,0.8023171215707736,0.6601941747572816,120,103,0.4383091783853199
CRLX,0.2617553395769574,0.3931033013023664,1.1263193372406568,0.6135922330097088,120,103,0.5116203080185123
HAR,0.1912059587956625,0.33106504755138466,0.8248397394563115,0.6601941747572816,120,103,0.4372710358526648
HARX,0.230450340857085,0.35044855024925065,1.1551702739153622,0.7184466019417476,120,103,0.4800524355287503
LSTM,0.24048168063857692,0.36470423242078104,1.2198909699295242,0.6660194174757281,120,103,0.49038931537970615
LSTMX,0.23575238995474082,0.3701526880515163,1.111553205933375,0.6368932038834951,120,103,0.48554339657206835
Persistence,0.22800179819663025,0.3766743449029409,0.7217942060536882,0.038834951456310676,120,103,0.4774953384030364
QR1,0.21579097096660343,0.34394270442412656,0.735489983413539,0.6310679611650486,120,103,0.4645330676782907
QR2,0.2336208210920507,0.37876575787697275,0.8541293061880835,0.6388349514563106,120,103,0.48334337803682664
