run_id,configuration,model,seed,window,target_month,forecast_origin,training_start,training_end,actual_log_rv,previous_log_rv,predicted_log_rv,status,warnings,seconds,error
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,ARMAX,0,120,2019-04-30,2019-03-31,2009-04-30,2019-03-31,-3.9484742447460137,-3.4021493888585232,,failed,,0.8975960420211777,RuntimeError: ARMAX optimizer did not converge
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,ARMAX,0,120,2026-09-30,2026-08-31,2016-09-30,2026-08-31,,-3.507788998946598,,unavailable,,4.591699689626694e-05,ValueError: Unavailable required inputs
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,ARMAX,0,571,2018-03-31,2018-02-28,1970-08-31,2018-02-28,-2.8638737336058275,-2.6032946025597585,,failed,,2.7272198750870302,RuntimeError: ARMAX optimizer did not converge
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,ARMAX,0,571,2026-09-30,2026-08-31,1979-02-28,2026-08-31,,-3.507788998946598,,unavailable,,5.879194941371679e-05,ValueError: Unavailable required inputs
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,CRLX,0,120,2026-09-30,2026-08-31,2016-09-30,2026-08-31,,-3.507788998946598,,unavailable,,1.4999997802078724e-05,ValueError: Unavailable required inputs
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,CRLX,1,120,2026-09-30,2026-08-31,2016-09-30,2026-08-31,,-3.507788998946598,,unavailable,,1.5083933249115944e-05,ValueError: Unavailable required inputs
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,CRLX,2,120,2026-09-30,2026-08-31,2016-09-30,2026-08-31,,-3.507788998946598,,unavailable,,1.5249941498041153e-05,ValueError: Unavailable required inputs
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,CRLX,3,120,2026-09-30,2026-08-31,2016-09-30,2026-08-31,,-3.507788998946598,,unavailable,,1.7874990589916706e-05,ValueError: Unavailable required inputs
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,CRLX,4,120,2026-09-30,2026-08-31,2016-09-30,2026-08-31,,-3.507788998946598,,unavailable,,2.008408773690462e-05,ValueError: Unavailable required inputs
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,CRLX,0,571,2026-09-30,2026-08-31,1979-02-28,2026-08-31,,-3.507788998946598,,unavailable,,1.7457990907132626e-05,ValueError: Unavailable required inputs
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,CRLX,1,571,2026-09-30,2026-08-31,1979-02-28,2026-08-31,,-3.507788998946598,,unavailable,,1.670804340392351e-05,ValueError: Unavailable required inputs
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,CRLX,2,571,2026-09-30,2026-08-31,1979-02-28,2026-08-31,,-3.507788998946598,,unavailable,,1.808302477002144e-05,ValueError: Unavailable required inputs
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,CRLX,3,571,2026-09-30,2026-08-31,1979-02-28,2026-08-31,,-3.507788998946598,,unavailable,,1.758395228534937e-05,ValueError: Unavailable required inputs
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,CRLX,4,571,2026-09-30,2026-08-31,1979-02-28,2026-08-31,,-3.507788998946598,,unavailable,,1.879199407994747e-05,ValueError: Unavailable required inputs
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,HARX,0,120,2026-09-30,2026-08-31,2016-09-30,2026-08-31,,-3.507788998946598,,unavailable,,1.7750076949596405e-05,ValueError: Unavailable required inputs
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,HARX,0,571,2026-09-30,2026-08-31,1979-02-28,2026-08-31,,-3.507788998946598,,unavailable,,1.7832964658737183e-05,ValueError: Unavailable required inputs
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,LSTMX,0,120,2026-09-30,2026-08-31,2016-09-30,2026-08-31,,-3.507788998946598,,unavailable,,6.125005893409252e-05,ValueError: Unavailable required inputs
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,LSTMX,1,120,2026-09-30,2026-08-31,2016-09-30,2026-08-31,,-3.507788998946598,,unavailable,,6.208394188433886e-05,ValueError: Unavailable required inputs
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,LSTMX,2,120,2026-09-30,2026-08-31,2016-09-30,2026-08-31,,-3.507788998946598,,unavailable,,5.208305083215237e-05,ValueError: Unavailable required inputs
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,LSTMX,3,120,2026-09-30,2026-08-31,2016-09-30,2026-08-31,,-3.507788998946598,,unavailable,,4.8874993808567524e-05,ValueError: Unavailable required inputs
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,LSTMX,4,120,2026-09-30,2026-08-31,2016-09-30,2026-08-31,,-3.507788998946598,,unavailable,,4.3625012040138245e-05,ValueError: Unavailable required inputs
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,LSTMX,0,571,2026-09-30,2026-08-31,1979-02-28,2026-08-31,,-3.507788998946598,,unavailable,,6.324995774775743e-05,ValueError: Unavailable required inputs
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,LSTMX,1,571,2026-09-30,2026-08-31,1979-02-28,2026-08-31,,-3.507788998946598,,unavailable,,5.991698708385229e-05,ValueError: Unavailable required inputs
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,LSTMX,2,571,2026-09-30,2026-08-31,1979-02-28,2026-08-31,,-3.507788998946598,,unavailable,,6.279197987169027e-05,ValueError: Unavailable required inputs
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,LSTMX,3,571,2026-09-30,2026-08-31,1979-02-28,2026-08-31,,-3.507788998946598,,unavailable,,5.637493450194597e-05,ValueError: Unavailable required inputs
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,LSTMX,4,571,2026-09-30,2026-08-31,1979-02-28,2026-08-31,,-3.507788998946598,,unavailable,,5.337502807378769e-05,ValueError: Unavailable required inputs
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,QR1,0,120,2026-09-30,2026-08-31,2016-09-30,2026-08-31,,-3.507788998946598,,unavailable,,2.120796125382185e-05,ValueError: Unavailable required inputs
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,QR1,1,120,2026-09-30,2026-08-31,2016-09-30,2026-08-31,,-3.507788998946598,,unavailable,,2.291705459356308e-05,ValueError: Unavailable required inputs
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,QR1,2,120,2026-09-30,2026-08-31,2016-09-30,2026-08-31,,-3.507788998946598,,unavailable,,2.5541987270116806e-05,ValueError: Unavailable required inputs
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,QR1,3,120,2026-09-30,2026-08-31,2016-09-30,2026-08-31,,-3.507788998946598,,unavailable,,2.1709012798964977e-05,ValueError: Unavailable required inputs
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,QR1,4,120,2026-09-30,2026-08-31,2016-09-30,2026-08-31,,-3.507788998946598,,unavailable,,2.4250010028481483e-05,ValueError: Unavailable required inputs
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,QR1,0,571,2026-09-30,2026-08-31,1979-02-28,2026-08-31,,-3.507788998946598,,unavailable,,5.349994171410799e-05,ValueError: Unavailable required inputs
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,QR1,1,571,2026-09-30,2026-08-31,1979-02-28,2026-08-31,,-3.507788998946598,,unavailable,,5.312496796250343e-05,ValueError: Unavailable required inputs
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,QR1,2,571,2026-09-30,2026-08-31,1979-02-28,2026-08-31,,-3.507788998946598,,unavailable,,4.62500611320138e-05,ValueError: Unavailable required inputs
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,QR1,3,571,2026-09-30,2026-08-31,1979-02-28,2026-08-31,,-3.507788998946598,,unavailable,,2.4833017960190773e-05,ValueError: Unavailable required inputs
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,QR1,4,571,2026-09-30,2026-08-31,1979-02-28,2026-08-31,,-3.507788998946598,,unavailable,,2.770894207060337e-05,ValueError: Unavailable required inputs
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,QR2,0,120,2026-09-30,2026-08-31,2016-09-30,2026-08-31,,-3.507788998946598,,unavailable,,2.0666979253292084e-05,ValueError: Unavailable required inputs
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,QR2,1,120,2026-09-30,2026-08-31,2016-09-30,2026-08-31,,-3.507788998946598,,unavailable,,2.3999949917197227e-05,ValueError: Unavailable required inputs
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,QR2,2,120,2026-09-30,2026-08-31,2016-09-30,2026-08-31,,-3.507788998946598,,unavailable,,2.0832987502217293e-05,ValueError: Unavailable required inputs
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,QR2,3,120,2026-09-30,2026-08-31,2016-09-30,2026-08-31,,-3.507788998946598,,unavailable,,1.737498678267002e-05,ValueError: Unavailable required inputs
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,QR2,4,120,2026-09-30,2026-08-31,2016-09-30,2026-08-31,,-3.507788998946598,,unavailable,,1.7000013031065464e-05,ValueError: Unavailable required inputs
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,QR2,0,571,2026-09-30,2026-08-31,1979-02-28,2026-08-31,,-3.507788998946598,,unavailable,,2.5875051505863667e-05,ValueError: Unavailable required inputs
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,QR2,1,571,2026-09-30,2026-08-31,1979-02-28,2026-08-31,,-3.507788998946598,,unavailable,,3.941706381738186e-05,ValueError: Unavailable required inputs
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,QR2,2,571,2026-09-30,2026-08-31,1979-02-28,2026-08-31,,-3.507788998946598,,unavailable,,2.6250025257468224e-05,ValueError: Unavailable required inputs
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,QR2,3,571,2026-09-30,2026-08-31,1979-02-28,2026-08-31,,-3.507788998946598,,unavailable,,2.0875013433396816e-05,ValueError: Unavailable required inputs
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,QR2,4,571,2026-09-30,2026-08-31,1979-02-28,2026-08-31,,-3.507788998946598,,unavailable,,1.8834020011126995e-05,ValueError: Unavailable required inputs
