scope,window,model,loss,mean_loss_minus_HAR,ci_lower,ci_upper,months
complete_period,571,HARX,mse_log_rv,-0.016031874436277946,-0.03291048692110076,-0.00040195780873913646,104
complete_period,571,QR2,mse_log_rv,-0.013444136698057153,-0.0315309481545176,0.0016395476762305612,104
complete_period,571,AR1,mse_log_rv,-0.011412361374604867,-0.0306169389101026,0.005631852398843586,104
complete_period,571,CRLX,mse_log_rv,-0.010009542185965488,-0.026513878134492,0.00498284602563398,104
complete_period,571,QR1,mse_log_rv,-0.006918983955719321,-0.02246387250682637,0.007907088473014363,104
complete_period,571,LSTMX,mse_log_rv,-0.00026206440262054737,-0.016662554660735428,0.01624613064729451,104
complete_period,571,HAR,mse_log_rv,0.0,0.0,0.0,104
complete_period,571,AR3,mse_log_rv,0.0006911262773635162,-0.005731951570800335,0.007094825137411277,104
complete_period,571,CRL,mse_log_rv,0.0007261876575778716,-0.0057099241651733966,0.007097929453465119,104
complete_period,571,LSTM,mse_log_rv,0.015463437950613407,0.00048055332120940233,0.0314685425633475,104
complete_period,571,Persistence,mse_log_rv,0.041548001350810854,0.008922836621698325,0.07714208905059265,104
all_model_common_dates,571,Persistence,mse_log_rv,0.04224902910818918,0.009114305738277036,0.07690536881486303,103
all_model_common_dates,571,HAR,mse_log_rv,0.0,0.0,0.0,103
all_model_common_dates,571,HARX,mse_log_rv,-0.016241422422103188,-0.03292142377866185,-0.00044934524493186773,103
all_model_common_dates,571,AR1,mse_log_rv,-0.010586578300933416,-0.029798485316232744,0.005754289943468439,103
all_model_common_dates,571,AR3,mse_log_rv,0.001065182136093715,-0.005360935341059674,0.007318741057779561,103
all_model_common_dates,571,ARMAX,mse_log_rv,0.009501976997793265,-0.009840742363613252,0.030269287722138893,103
all_model_common_dates,571,CRL,mse_log_rv,0.0010880496451712999,-0.005365517837493029,0.007398283185386466,103
all_model_common_dates,571,CRLX,mse_log_rv,-0.01028592799730351,-0.026811647987567938,0.004687788857961167,103
all_model_common_dates,571,QR1,mse_log_rv,-0.006691291366236282,-0.02279863368554989,0.008201152980846274,103
all_model_common_dates,571,QR2,mse_log_rv,-0.013448975095659886,-0.03146557614037358,0.0017950513813964038,103
all_model_common_dates,571,LSTM,mse_log_rv,0.014598028853479687,-9.961682485320537e-05,0.030342921155775693,103
all_model_common_dates,571,LSTMX,mse_log_rv,-0.0008741169106081349,-0.016852361163903977,0.015489954238598112,103
complete_period,571,HARX,qlike_variance,-0.11169869938213908,-0.2797095731428639,0.0022990176335476085,104
complete_period,571,QR2,qlike_variance,-0.1289595141661157,-0.3090930438385686,-0.001075065929138109,104
complete_period,571,AR1,qlike_variance,-0.13492887407199194,-0.3769889901870007,0.023244652263442595,104
complete_period,571,CRLX,qlike_variance,-0.10640457482692964,-0.30903554790551224,0.019436452254412876,104
complete_period,571,QR1,qlike_variance,-0.11349934982746815,-0.250105584201559,-0.012337609192151981,104
complete_period,571,LSTMX,qlike_variance,-0.059443264952176764,-0.21822231176578513,0.06747668854128783,104
complete_period,571,HAR,qlike_variance,0.0,0.0,0.0,104
complete_period,571,AR3,qlike_variance,-0.021207471459063036,-0.06664610056678857,0.010127869731394214,104
complete_period,571,CRL,qlike_variance,-0.020123667663546844,-0.06253515316138744,0.009686580646476175,104
complete_period,571,LSTM,qlike_variance,0.09525634848245794,-0.008047320937104675,0.24471478842577732,104
complete_period,571,Persistence,qlike_variance,-0.007611665494787512,-0.4097535368128335,0.30972425141905996,104
all_model_common_dates,571,Persistence,qlike_variance,-0.00641598753932779,-0.42383453972601653,0.3137723880421784,103
all_model_common_dates,571,HAR,qlike_variance,0.0,0.0,0.0,103
all_model_common_dates,571,HARX,qlike_variance,-0.11293387100795438,-0.28508614144384103,0.0008387473599465246,103
all_model_common_dates,571,AR1,qlike_variance,-0.13389226992693945,-0.3785304394317026,0.024317101379731833,103
all_model_common_dates,571,AR3,qlike_variance,-0.02042658505999578,-0.06672518270068815,0.010644230682322077,103
all_model_common_dates,571,ARMAX,qlike_variance,-0.047515981689302794,-0.241914700031481,0.11044183966216573,103
all_model_common_dates,571,CRL,qlike_variance,-0.019364748688641263,-0.06288265321587704,0.010258392390829514,103
