model,mcs_pvalue,window,loss,scope,months
Persistence,0.0117,571,mse_log_rv,complete_period,104
LSTMX,0.0422,571,mse_log_rv,complete_period,104
LSTM,0.1572,571,mse_log_rv,complete_period,104
HAR,0.4331,571,mse_log_rv,complete_period,104
AR3,0.4891,571,mse_log_rv,complete_period,104
CRL,0.4891,571,mse_log_rv,complete_period,104
CRLX,0.8288,571,mse_log_rv,complete_period,104
QR1,0.8288,571,mse_log_rv,complete_period,104
AR1,0.904,571,mse_log_rv,complete_period,104
QR2,0.904,571,mse_log_rv,complete_period,104
HARX,1.0,571,mse_log_rv,complete_period,104
Persistence,0.0161,571,mse_log_rv,all_model_common_dates,103
LSTMX,0.0481,571,mse_log_rv,all_model_common_dates,103
ARMAX,0.0609,571,mse_log_rv,all_model_common_dates,103
LSTM,0.159,571,mse_log_rv,all_model_common_dates,103
HAR,0.3923,571,mse_log_rv,all_model_common_dates,103
AR3,0.4132,571,mse_log_rv,all_model_common_dates,103
CRL,0.4132,571,mse_log_rv,all_model_common_dates,103
CRLX,0.8309,571,mse_log_rv,all_model_common_dates,103
QR1,0.8309,571,mse_log_rv,all_model_common_dates,103
AR1,0.8524,571,mse_log_rv,all_model_common_dates,103
QR2,0.8524,571,mse_log_rv,all_model_common_dates,103
HARX,1.0,571,mse_log_rv,all_model_common_dates,103
LSTMX,0.1243,571,qlike_variance,complete_period,104
AR3,0.2996,571,qlike_variance,complete_period,104
CRL,0.3015,571,qlike_variance,complete_period,104
HAR,0.3457,571,qlike_variance,complete_period,104
LSTM,0.4232,571,qlike_variance,complete_period,104
Persistence,0.7065,571,qlike_variance,complete_period,104
HARX,0.8723,571,qlike_variance,complete_period,104
CRLX,0.8723,571,qlike_variance,complete_period,104
QR1,0.8723,571,qlike_variance,complete_period,104
QR2,0.9159,571,qlike_variance,complete_period,104
AR1,1.0,571,qlike_variance,complete_period,104
LSTMX,0.1357,571,qlike_variance,all_model_common_dates,103
AR3,0.3108,571,qlike_variance,all_model_common_dates,103
CRL,0.3155,571,qlike_variance,all_model_common_dates,103
ARMAX,0.3398,571,qlike_variance,all_model_common_dates,103
HAR,0.3398,571,qlike_variance,all_model_common_dates,103
LSTM,0.4331,571,qlike_variance,all_model_common_dates,103
Persistence,0.7343,571,qlike_variance,all_model_common_dates,103
HARX,0.8844,571,qlike_variance,all_model_common_dates,103
CRLX,0.8844,571,qlike_variance,all_model_common_dates,103
QR1,0.8844,571,qlike_variance,all_model_common_dates,103
QR2,0.9453,571,qlike_variance,all_model_common_dates,103
AR1,1.0,571,qlike_variance,all_model_common_dates,103
LSTMX,0.1315,120,mse_log_rv,complete_period,104
QR2,0.1491,120,mse_log_rv,complete_period,104
LSTM,0.1912,120,mse_log_rv,complete_period,104
CRLX,0.2057,120,mse_log_rv,complete_period,104
Persistence,0.2154,120,mse_log_rv,complete_period,104
HARX,0.5141,120,mse_log_rv,complete_period,104
AR3,0.5695,120,mse_log_rv,complete_period,104
CRL,0.5695,120,mse_log_rv,complete_period,104
HAR,0.5695,120,mse_log_rv,complete_period,104
QR1,0.5695,120,mse_log_rv,complete_period,104
AR1,1.0,120,mse_log_rv,complete_period,104
LSTMX,0.0903,120,mse_log_rv,all_model_common_dates,103
QR2,0.1823,120,mse_log_rv,all_model_common_dates,103
LSTM,0.2046,120,mse_log_rv,all_model_common_dates,103
CRLX,0.2046,120,mse_log_rv,all_model_common_dates,103
Persistence,0.2509,120,mse_log_rv,all_model_common_dates,103
ARMAX,0.4467,120,mse_log_rv,all_model_common_dates,103
HARX,0.5251,120,mse_log_rv,all_model_common_dates,103
AR3,0.5402,120,mse_log_rv,all_model_common_dates,103
CRL,0.5402,120,mse_log_rv,all_model_common_dates,103
HAR,0.5402,120,mse_log_rv,all_model_common_dates,103
QR1,0.5402,120,mse_log_rv,all_model_common_dates,103
AR1,1.0,120,mse_log_rv,all_model_common_dates,103
CRLX,0.1775,120,qlike_variance,complete_period,104
LSTMX,0.2667,120,qlike_variance,complete_period,104
LSTM,0.4504,120,qlike_variance,complete_period,104
AR3,0.5146,120,qlike_variance,complete_period,104
CRL,0.5192,120,qlike_variance,complete_period,104
HARX,0.5192,120,qlike_variance,complete_period,104
HAR,0.5849,120,qlike_variance,complete_period,104
QR2,0.5849,120,qlike_variance,complete_period,104
QR1,0.9933,120,qlike_variance,complete_period,104
AR1,0.9933,120,qlike_variance,complete_period,104
Persistence,1.0,120,qlike_variance,complete_period,104
CRLX,0.1878,120,qlike_variance,all_model_common_dates,103
LSTMX,0.2945,120,qlike_variance,all_model_common_dates,103
LSTM,0.4931,120,qlike_variance,all_model_common_dates,103
AR3,0.5549,120,qlike_variance,all_model_common_dates,103
CRL,0.562,120,qlike_variance,all_model_common_dates,103
HARX,0.562,120,qlike_variance,all_model_common_dates,103
HAR,0.6518,120,qlike_variance,all_model_common_dates,103
QR2,0.6518,120,qlike_variance,all_model_common_dates,103
ARMAX,0.6518,120,qlike_variance,all_model_common_dates,103
QR1,0.9942,120,qlike_variance,all_model_common_dates,103
AR1,0.9942,120,qlike_variance,all_model_common_dates,103
Persistence,1.0,120,qlike_variance,all_model_common_dates,103
