window,model,block,loss_difference,ci_lower,ci_upper,months
120,CRLX,3,-0.009594671433573676,-0.06601752077798792,0.032183119729146774,80
120,CRLX,6,-0.009594671433573676,-0.05967070608254241,0.026789332696592377,80
120,CRLX,12,-0.009594671433573676,-0.055468609911121895,0.023959034669929644,80
120,QR1,3,0.0990046530515479,-0.0522467179337295,0.3608953666758864,80
120,QR1,6,0.0990046530515479,-0.04665778994238384,0.3533303482567958,80
120,QR1,12,0.0990046530515479,-0.039457912373583974,0.3354107054887307,80
120,QR2,3,0.014779252742973786,-0.033420793546479144,0.07180278608602057,80
120,QR2,6,0.014779252742973786,-0.032812168386656765,0.07356772398675751,80
120,QR2,12,0.014779252742973786,-0.0293062609166038,0.06921483098699341,80
571,CRLX,3,0.003531757371972432,-0.00958415486342869,0.018524386880519442,80
571,CRLX,6,0.003531757371972432,-0.009143959657228421,0.01917879261425131,80
571,CRLX,12,0.003531757371972432,-0.008262957299500192,0.018639084334143505,80
571,QR1,3,0.004390958326524368,-0.01344779428630879,0.02809759492380808,80
571,QR1,6,0.004390958326524368,-0.012971940438364315,0.027722247140372226,80
571,QR1,12,0.004390958326524368,-0.011943103665009967,0.026322130833872047,80
571,QR2,3,0.006630983987148726,-0.012917601178676259,0.029509760199930058,80
571,QR2,6,0.006630983987148726,-0.013848909046197254,0.030099688692769987,80
571,QR2,12,0.006630983987148726,-0.013283521870892776,0.028620157367538705,80
