window,model,mse_log_rv,mae_log_rv,qlike_variance
120,CRLX_matched_ridge,0.2340861442921575,0.3573131821582306,1.4053182029508435
120,CRLX_raw_input_ridge,0.24368081572573116,0.3470390567133422,1.467424530900542
120,QR1_matched_ridge,0.26346509240918436,0.3247756917408161,0.6114965276943071
120,QR1_raw_input_ridge,0.16446043935763646,0.31903713783139076,0.403946534493257
120,QR2_matched_ridge,0.1879912658566872,0.31443940025154304,0.910867603300609
120,QR2_raw_input_ridge,0.17321201311371343,0.31890848686108725,0.6384047222716884
571,CRLX_matched_ridge,0.14812480279675375,0.2911242051998154,0.5830983468361353
571,CRLX_raw_input_ridge,0.1445930454247813,0.2834935289410682,0.542752002852872
571,QR1_matched_ridge,0.14823822776539902,0.282712046992898,0.6031618564394178
571,QR1_raw_input_ridge,0.14384726943887466,0.2905784175958105,0.49781495382129554
571,QR2_matched_ridge,0.13924688041097769,0.2820851661870055,0.5288770200474502
571,QR2_raw_input_ridge,0.13261589642382896,0.2685652388518438,0.44118088600533706
