window,model,mse_log_rv,mae_log_rv,qlike_variance,successful_records,months
120,AR1,0.15850049431398072,0.30121919547500886,0.697754716116111,80,80
120,AR3,0.16289235964055268,0.3017783561357389,0.752371857878453,80,80
120,ARMAX,0.24048093321717606,0.3627883253633275,0.8117061161667651,80,80
120,CRL,0.16305475195128682,0.3018917568945396,0.7525470786728983,400,80
120,CRLX,0.2584049866353952,0.3896180036035104,1.1307645800247443,400,80
120,HAR,0.1617849968895435,0.30155375557344966,0.7745273084923101,80,80
120,HARX,0.21896919612300952,0.3379347006953394,1.1348927524161045,80,80
120,LSTM,0.21363226602587043,0.3274771787916962,1.2581265996996682,400,80
120,LSTMX,0.22187199216608824,0.3496782898145664,1.1575646600157823,400,80
120,Persistence,0.18021484834446522,0.33634938006364734,0.5044110124359469,80,80
120,QR1,0.19805253929707767,0.32238939195384037,0.6885698482333298,400,80
120,QR2,0.21410800404458222,0.3618368116668207,0.781935615770517,400,80
571,AR1,0.14295414643352972,0.2939566195749521,0.5145979847761122,80,80
571,AR3,0.15569928147860326,0.29605687134234954,0.6433146613546474,80,80
571,ARMAX,0.16050814913717332,0.2940318577845774,0.5531469659516575,80,80
571,CRL,0.15585372131081646,0.29585952196025445,0.6454396412117518,400,80
571,CRLX,0.1464366267332203,0.28975034079046474,0.5546320071219306,400,80
571,HAR,0.1546409089722404,0.29537591918892886,0.6652530960334483,80,80
571,HARX,0.1373831732906638,0.27633406225949175,0.528973323559617,80,80
571,LSTM,0.1699103479951579,0.30371896256727043,0.7829198224187992,400,80
571,LSTMX,0.15096561672386144,0.28637060710295925,0.577767620474893,400,80
571,Persistence,0.18021484834446522,0.33634938006364734,0.5044110124359469,80,80
571,QR1,0.14523365099451538,0.2810751643777741,0.5321683080861003,400,80
571,QR2,0.13660543360184862,0.2801024248870613,0.5092373974736111,400,80
