model,window,status,records
AR1,120,ok,105
AR1,571,ok,105
AR3,120,ok,105
AR3,571,ok,105
ARMAX,120,failed,1
ARMAX,120,ok,103
ARMAX,120,unavailable,1
ARMAX,571,failed,1
ARMAX,571,ok,103
ARMAX,571,unavailable,1
CRL,120,ok,525
CRL,571,ok,525
CRLX,120,ok,520
CRLX,120,unavailable,5
CRLX,571,ok,520
CRLX,571,unavailable,5
HAR,120,ok,105
HAR,571,ok,105
HARX,120,ok,104
HARX,120,unavailable,1
HARX,571,ok,104
HARX,571,unavailable,1
LSTM,120,ok,525
LSTM,571,ok,525
LSTMX,120,ok,520
LSTMX,120,unavailable,5
LSTMX,571,ok,520
LSTMX,571,unavailable,5
Persistence,120,ok,105
Persistence,571,ok,105
QR1,120,ok,520
QR1,120,unavailable,5
QR1,571,ok,520
QR1,571,unavailable,5
QR2,120,ok,520
QR2,120,unavailable,5
QR2,571,ok,520
QR2,571,unavailable,5
