period,window,model,complete,successful_forecasts,expected_forecasts,mse_seed_std,mse_log_rv,mae_log_rv,qlike_variance,directional_accuracy,rmse_log_rv
last12,120,HARX,True,12,12,0.0,0.06383989639287907,0.2006500652077294,0.14230564126721199,1.0,0.25266558212957907
last12,120,ARMAX,True,12,12,0.0,0.06688207290281602,0.19371355166486068,0.12434383793994913,0.9166666666666666,0.2586156857246212
last12,120,LSTM,True,60,60,0.0025519594708934535,0.06924405523301692,0.22928919427428293,0.13845122822111966,0.7,0.2631426518696977
last12,120,LSTMX,True,60,60,0.0019144470713213027,0.08210137376547498,0.24478246569983622,0.15700439587464,0.7166666666666667,0.28653337286514285
last12,120,HAR,True,12,12,0.0,0.09018622975778268,0.2600197731568033,0.18548459910011283,0.6666666666666666,0.3003102225329379
last12,120,AR3,True,12,12,0.0,0.09177429742870713,0.2697402692029207,0.1871725406384921,0.5833333333333334,0.3029427296184992
last12,120,AR1,True,12,12,0.0,0.09193532596358546,0.2615939983346164,0.18791994425512157,0.75,0.30320838702711617
last12,120,CRL,True,60,60,0.0003592423036630983,0.0919428554597125,0.27016862099212274,0.1873023264760218,0.5833333333333334,0.30322080314469274
last12,120,CRLX,True,60,60,0.014583535493391853,0.1025629641462866,0.2799846018629003,0.22897715937403954,0.7,0.32025453025099676
last12,120,QR1,True,60,60,0.007841337822318098,0.10445399221792039,0.2761403249333204,0.20102441174606836,0.6833333333333333,0.323193428488143
last12,120,QR2,True,60,60,0.022908266251759894,0.12336090923684559,0.3116512503264989,0.23786968754896576,0.6333333333333333,0.3512277170680662
last12,120,Persistence,True,12,12,0.0,0.13586251906508842,0.3249825738097067,0.3136301524760801,0.08333333333333333,0.36859533239731673
last12,571,HARX,True,12,12,0.0,0.06385060292751236,0.21225673013769497,0.12901324728436622,1.0,0.25268676840608884
last12,571,LSTMX,True,60,60,0.006510880636474942,0.06703969068609203,0.2288475832129316,0.14056037593055848,0.85,0.2589202400085633
last12,571,ARMAX,True,12,12,0.0,0.07241097179017568,0.23406917995160778,0.16486197945531042,0.75,0.26909286833763485
last12,571,QR2,True,60,60,0.006483619326780918,0.07271496599196278,0.24394022594932327,0.13581317429899772,0.7833333333333333,0.2696571267219963
last12,571,CRLX,True,60,60,0.012625094762802087,0.0784114635794457,0.25025139122423873,0.16681800363689347,0.8333333333333334,0.28002046992933516
last12,571,QR1,True,60,60,0.004239282901676547,0.08275462595324963,0.2518115676772023,0.14903048670356936,0.8333333333333334,0.28767103773798575
last12,571,HAR,True,12,12,0.0,0.0855128827203826,0.25713380952714,0.1772430763912964,0.6666666666666666,0.29242585850157404
