period,window,model,seed,mse_log_rv,mae_log_rv,qlike_variance,directional_accuracy,rmse_log_rv
post2017,571,Persistence,0,0.22867938521551348,0.3783055998162539,0.7189690358793352,0.038461538461538464,0.47820433416638275
post2017,571,HAR,0,0.18713138386470263,0.32946235523829404,0.7265807013741228,0.6442307692307693,0.4325868512388034
post2017,571,HARX,0,0.17109950942842467,0.3142952931476462,0.6148820019919837,0.7019230769230769,0.41364176460848906
post2017,571,AR1,0,0.17571902249009774,0.3251373510515459,0.5916518273021308,0.6826923076923077,0.41918852857646016
post2017,571,AR3,0,0.1878225101420661,0.33007761535903923,0.7053732299150598,0.6634615384615384,0.4333849445263023
post2017,571,ARMAX,0,0.1974932836068534,0.3332962500753075,0.6837329100574074,0.7087378640776699,0.44440216426886736
post2017,571,CRL,0,0.18789754446204257,0.3295573875293564,0.7087157111716915,0.6730769230769231,0.43347150363321757
post2017,571,CRL,1,0.18797497083885475,0.3300796853441143,0.7069093125560926,0.6730769230769231,0.4335608040850265
post2017,571,CRL,2,0.1877498990978488,0.3299474128272874,0.7051973198502074,0.6730769230769231,0.4333011644316789
post2017,571,CRL,3,0.1878548367626123,0.32992706263106447,0.7061791591022519,0.6730769230769231,0.4334222384264706
post2017,571,CRL,4,0.18781060645004394,0.3300416928577871,0.7052836658726361,0.6730769230769231,0.43337121091512754
post2017,571,CRLX,0,0.17820012247282233,0.3223611276193638,0.6229989361496824,0.6538461538461539,0.4221375634468251
post2017,571,CRLX,1,0.17696122623648528,0.32566657734055526,0.6117084286726537,0.6634615384615384,0.42066759589548286
post2017,571,CRLX,2,0.17338143986564142,0.32199948996927197,0.6047300703735431,0.6538461538461539,0.4163909699616953
post2017,571,CRLX,3,0.17620576877449856,0.32665797197914614,0.6245941802958842,0.6730769230769231,0.4197687086652584
post2017,571,CRLX,4,0.18086065104423807,0.32811917576725746,0.6368490172442024,0.7019230769230769,0.42527714615793555
post2017,571,QR1,0,0.18478589905984055,0.3237010736372057,0.6362026042190325,0.6826923076923077,0.42986730401350665
post2017,571,QR1,1,0.1807433152642407,0.3203821259335079,0.5922017035638485,0.6923076923076923,0.42513917164175863
