model,mse_log_rv,mae_log_rv,qlike_variance,directional_accuracy,window,common_months,rmse_log_rv
AR1,0.1775404740410559,0.32629289234241443,0.6006304698720074,0.6764705882352942,571,102,0.4213555197704854
AR3,0.18835844892530199,0.3298128867123988,0.7146184941369734,0.6666666666666666,571,102,0.4340028213333434
ARMAX,0.1773637782041547,0.32517371247029114,0.6213842398404471,0.6078431372549019,571,102,0.42114579210073405
CRL,0.18841021330077337,0.32964425326302516,0.7157403695160395,0.6764705882352942,571,102,0.4340624532262303
CRLX,0.170770143394422,0.31820929370543305,0.6160696082616858,0.6490196078431373,571,102,0.41324344325642
HAR,0.18802858317632296,0.3299176765582749,0.7367590756436875,0.6470588235294118,571,102,0.4336226276110634
HARX,0.17383113323406071,0.3146753618985594,0.6590787458238202,0.6470588235294118,571,102,0.4169306096151501
LSTM,0.20274702436103845,0.34247702071621994,0.8326523193959424,0.6372549019607843,571,102,0.4502743878581575
LSTMX,0.17931585227143426,0.32153407465630807,0.6819713901892672,0.6666666666666666,571,102,0.4234570252946977
Persistence,0.23003673518169862,0.37789921952447814,0.7281772427655441,0.06862745098039216,571,102,0.4796214498765653
QR1,0.17079467404906037,0.3142609195646848,0.6010104375575055,0.6627450980392157,571,102,0.4132731228244348
QR2,0.17625627961040857,0.31917541451934506,0.6396631297679015,0.6627450980392157,571,102,0.41982886943421194
AR1,0.18235986991894879,0.32628208420732874,0.7266296634102029,0.7019230769230769,120,104,0.42703614591618444
AR3,0.1932550110177456,0.3339387466914425,0.8005305841420481,0.6538461538461539,120,104,0.4396077922623137
ARMAX,0.19652160549098122,0.34710883584829616,0.654809804741549,0.6538461538461539,120,104,0.44330757436680596
CRL,0.19319561750938538,0.333961915845315,0.7987797808029931,0.6538461538461539,120,104,0.4395402342327553
CRLX,0.2029147069112301,0.34829617239425664,0.7573323956563542,0.6346153846153846,120,104,0.4504605497834745
HAR,0.19246584505887993,0.3333398785078015,0.8212864056800716,0.6538461538461539,120,104,0.4387092944751455
HARX,0.18769118272502455,0.3288739770204238,0.6718185758044639,0.6826923076923077,120,104,0.4332334044427144
LSTM,0.24165646079816575,0.36698726934414544,1.2130155906751303,0.6596153846153846,120,104,0.49158565967506185
LSTMX,0.23027906609164742,0.3562905012679543,1.1746805469506865,0.676923076923077,120,104,0.47987401064409335
Persistence,0.22867414802551003,0.37830125498993183,0.7189457069934044,0.0673076923076923,120,104,0.4781988582436286
QR1,0.18587033778265816,0.3305304575873273,0.6671720290766345,0.6538461538461539,120,104,0.43112682331613067
QR2,0.21649929931864959,0.35565170732293894,0.7665987113173359,0.6461538461538462,120,104,0.46529485202251014
