model,mcs_pvalue,window,loss,scope,months
Persistence,0.0109,571,mse_log_rv,complete_period,104
LSTM,0.1255,571,mse_log_rv,complete_period,104
HAR,0.3614,571,mse_log_rv,complete_period,104
AR3,0.4817,571,mse_log_rv,complete_period,104
CRL,0.4817,571,mse_log_rv,complete_period,104
QR2,0.6837,571,mse_log_rv,complete_period,104
LSTMX,0.6837,571,mse_log_rv,complete_period,104
HARX,0.9421,571,mse_log_rv,complete_period,104
AR1,0.9421,571,mse_log_rv,complete_period,104
QR1,0.9421,571,mse_log_rv,complete_period,104
CRLX,1.0,571,mse_log_rv,complete_period,104
Persistence,0.0161,571,mse_log_rv,all_model_common_dates,102
LSTM,0.1269,571,mse_log_rv,all_model_common_dates,102
HAR,0.3132,571,mse_log_rv,all_model_common_dates,102
AR3,0.4724,571,mse_log_rv,all_model_common_dates,102
CRL,0.4724,571,mse_log_rv,all_model_common_dates,102
ARMAX,0.6106,571,mse_log_rv,all_model_common_dates,102
QR2,0.6106,571,mse_log_rv,all_model_common_dates,102
LSTMX,0.6106,571,mse_log_rv,all_model_common_dates,102
HARX,0.8977,571,mse_log_rv,all_model_common_dates,102
AR1,0.8977,571,mse_log_rv,all_model_common_dates,102
QR1,0.9929,571,mse_log_rv,all_model_common_dates,102
CRLX,1.0,571,mse_log_rv,all_model_common_dates,102
LSTM,0.6327,571,qlike_variance,complete_period,104
LSTMX,0.6937,571,qlike_variance,complete_period,104
AR3,0.7199,571,qlike_variance,complete_period,104
Persistence,0.7199,571,qlike_variance,complete_period,104
CRL,0.7199,571,qlike_variance,complete_period,104
HAR,0.7199,571,qlike_variance,complete_period,104
QR2,0.7199,571,qlike_variance,complete_period,104
HARX,0.7199,571,qlike_variance,complete_period,104
CRLX,0.7199,571,qlike_variance,complete_period,104
QR1,0.9423,571,qlike_variance,complete_period,104
AR1,1.0,571,qlike_variance,complete_period,104
ARMAX,0.6828,571,qlike_variance,all_model_common_dates,102
LSTM,0.6828,571,qlike_variance,all_model_common_dates,102
LSTMX,0.6828,571,qlike_variance,all_model_common_dates,102
AR3,0.7263,571,qlike_variance,all_model_common_dates,102
CRL,0.7263,571,qlike_variance,all_model_common_dates,102
HAR,0.7263,571,qlike_variance,all_model_common_dates,102
Persistence,0.7263,571,qlike_variance,all_model_common_dates,102
QR2,0.7263,571,qlike_variance,all_model_common_dates,102
HARX,0.7263,571,qlike_variance,all_model_common_dates,102
CRLX,0.7263,571,qlike_variance,all_model_common_dates,102
QR1,0.9954,571,qlike_variance,all_model_common_dates,102
AR1,1.0,571,qlike_variance,all_model_common_dates,102
QR2,0.1503,120,mse_log_rv,complete_period,104
CRLX,0.1503,120,mse_log_rv,complete_period,104
LSTM,0.1944,120,mse_log_rv,complete_period,104
Persistence,0.2824,120,mse_log_rv,complete_period,104
LSTMX,0.2824,120,mse_log_rv,complete_period,104
AR3,0.7634,120,mse_log_rv,complete_period,104
CRL,0.7634,120,mse_log_rv,complete_period,104
HAR,0.7634,120,mse_log_rv,complete_period,104
ARMAX,0.7634,120,mse_log_rv,complete_period,104
HARX,0.9187,120,mse_log_rv,complete_period,104
QR1,0.9187,120,mse_log_rv,complete_period,104
AR1,1.0,120,mse_log_rv,complete_period,104
QR2,0.1503,120,mse_log_rv,all_model_common_dates,104
CRLX,0.1503,120,mse_log_rv,all_model_common_dates,104
LSTM,0.1944,120,mse_log_rv,all_model_common_dates,104
Persistence,0.2824,120,mse_log_rv,all_model_common_dates,104
LSTMX,0.2824,120,mse_log_rv,all_model_common_dates,104
AR3,0.7634,120,mse_log_rv,all_model_common_dates,104
CRL,0.7634,120,mse_log_rv,all_model_common_dates,104
HAR,0.7634,120,mse_log_rv,all_model_common_dates,104
ARMAX,0.7634,120,mse_log_rv,all_model_common_dates,104
HARX,0.9187,120,mse_log_rv,all_model_common_dates,104
QR1,0.9187,120,mse_log_rv,all_model_common_dates,104
AR1,1.0,120,mse_log_rv,all_model_common_dates,104
QR2,0.1043,120,qlike_variance,complete_period,104
CRLX,0.1249,120,qlike_variance,complete_period,104
LSTMX,0.366,120,qlike_variance,complete_period,104
LSTM,0.3981,120,qlike_variance,complete_period,104
AR3,0.4958,120,qlike_variance,complete_period,104
CRL,0.4971,120,qlike_variance,complete_period,104
HAR,0.5952,120,qlike_variance,complete_period,104
Persistence,0.9586,120,qlike_variance,complete_period,104
AR1,0.9586,120,qlike_variance,complete_period,104
QR1,0.9586,120,qlike_variance,complete_period,104
HARX,0.9586,120,qlike_variance,complete_period,104
ARMAX,1.0,120,qlike_variance,complete_period,104
QR2,0.1043,120,qlike_variance,all_model_common_dates,104
CRLX,0.1249,120,qlike_variance,all_model_common_dates,104
LSTMX,0.366,120,qlike_variance,all_model_common_dates,104
LSTM,0.3981,120,qlike_variance,all_model_common_dates,104
AR3,0.4958,120,qlike_variance,all_model_common_dates,104
CRL,0.4971,120,qlike_variance,all_model_common_dates,104
HAR,0.5952,120,qlike_variance,all_model_common_dates,104
Persistence,0.9586,120,qlike_variance,all_model_common_dates,104
AR1,0.9586,120,qlike_variance,all_model_common_dates,104
QR1,0.9586,120,qlike_variance,all_model_common_dates,104
HARX,0.9586,120,qlike_variance,all_model_common_dates,104
ARMAX,1.0,120,qlike_variance,all_model_common_dates,104
