period,window,model,seed,mse_log_rv,mae_log_rv,qlike_variance,directional_accuracy,rmse_log_rv
post2017,571,Persistence,0,0.22867414802551003,0.37830125498993183,0.7189457069934044,0.0673076923076923,0.4781988582436286
post2017,571,HAR,0,0.18712765213431812,0.3294586791292971,0.726564804847441,0.6442307692307693,0.43258253794428425
post2017,571,HARX,0,0.1737478506115961,0.31640662216048376,0.6513969597127709,0.6442307692307693,0.4168307217703562
post2017,571,AR1,0,0.17571542875012083,0.3251329298562563,0.5916460360665685,0.6826923076923077,0.4191842420107426
post2017,571,AR3,0,0.1878187169349221,0.33007361398726154,0.7053608717987788,0.6634615384615384,0.433380568247957
post2017,571,ARMAX,0,0.1773637782041547,0.32517371247029114,0.6213842398404471,0.6078431372549019,0.42114579210073405
post2017,571,CRL,0,0.1878938907383167,0.3295534301330783,0.7087033055455745,0.6730769230769231,0.4334672891214707
post2017,571,CRL,1,0.18797117933985755,0.330075697456638,0.7068968336721854,0.6730769230769231,0.4335564315517157
post2017,571,CRL,2,0.1877461227344089,0.3299434270554376,0.7051850016611556,0.6730769230769231,0.4332968067438403
post2017,571,CRL,3,0.18785106990002093,0.3299230961918181,0.7061667771532595,0.6730769230769231,0.43341789291631805
post2017,571,CRL,4,0.18780681705620922,0.3300376954516913,0.705271328138312,0.6730769230769231,0.43336683889772787
post2017,571,CRLX,0,0.1688166143715023,0.3207809184547169,0.5569145182446429,0.6538461538461539,0.4108729905597377
post2017,571,CRLX,1,0.1697386013808718,0.31665884019623497,0.6306645026735282,0.6153846153846154,0.4119934482256627
post2017,571,CRLX,2,0.17310136479922342,0.3241250218504423,0.6299148984222893,0.625,0.416054521426247
post2017,571,CRLX,3,0.17173722138854197,0.3167989251509707,0.6433999945450952,0.6730769230769231,0.41441189822270064
post2017,571,CRLX,4,0.1715304107733941,0.32079283891087795,0.586148024945873,0.6730769230769231,0.41416230003875787
post2017,571,QR1,0,0.170534102769851,0.3160599554774547,0.5920787690733433,0.6346153846153846,0.41295774937619345
post2017,571,QR1,1,0.17191830078610565,0.3179052247698272,0.5980765209342763,0.6634615384615384,0.4146303182186581
post2017,571,QR1,2,0.17166991390959663,0.31603029076666217,0.6030082818132931,0.6730769230769231,0.414330681834687
post2017,571,QR1,3,0.17109856794043857,0.31649642341031925,0.5900463645024023,0.6538461538461539,0.41364062655938255
post2017,571,QR1,4,0.1717403975559159,0.3174117246498524,0.593281342092361,0.6634615384615384,0.41441573034323387
post2017,571,QR2,0,0.17519155226524263,0.3204808725914937,0.6028956436223785,0.6442307692307693,0.4185588993979732
post2017,571,QR2,1,0.17584595465163058,0.3215794632595029,0.6247001684531577,0.6346153846153846,0.4193399034812101
post2017,571,QR2,2,0.17280714730398294,0.3185253004439202,0.6217942030251931,0.7211538461538461,0.41570079059821735
post2017,571,QR2,3,0.17888381008385426,0.32404031577795833,0.644629899800716,0.6538461538461539,0.4229465806503869
post2017,571,QR2,4,0.17737059354805434,0.3190572525447642,0.667117131475186,0.6442307692307693,0.42115388345360694
post2017,571,LSTM,0,0.19873297452843333,0.3360999948026232,0.8108264547282187,0.6442307692307693,0.4457947672734992
post2017,571,LSTM,1,0.205739833607502,0.34796964017117354,0.7532128621796835,0.5865384615384616,0.45358553064168833
post2017,571,LSTM,2,0.20721194868698595,0.3477515520221835,0.8817354079992554,0.6538461538461539,0.4552053917595726
post2017,571,LSTM,3,0.19888439310976908,0.344847625122074,0.7530402843770994,0.6634615384615384,0.44596456485887875
post2017,571,LSTM,4,0.20238436223995124,0.336244690613644,0.9102996451823261,0.625,0.44987149525164544
post2017,571,LSTMX,0,0.17178154883026064,0.31450946602326274,0.6498773256432637,0.7019230769230769,0.4144653771188381
post2017,571,LSTMX,1,0.17458439367876538,0.3085175246965701,0.6873501843978602,0.6634615384615384,0.41783297342211445
post2017,571,LSTMX,2,0.18300151316028584,0.3282865068365552,0.6818159587239828,0.6442307692307693,0.42778676131956894
post2017,571,LSTMX,3,0.1852442588268657,0.32861112577442353,0.6883311409424331,0.6634615384615384,0.43040011480814655
post2017,571,LSTMX,4,0.1763647059071753,0.32476375064085156,0.6544090237124858,0.6442307692307693,0.4199579811209394
post2017,120,Persistence,0,0.22867414802551003,0.37830125498993183,0.7189457069934044,0.0673076923076923,0.4781988582436286
post2017,120,HAR,0,0.19246584505887993,0.3333398785078015,0.8212864056800716,0.6538461538461539,0.4387092944751455
post2017,120,HARX,0,0.18769118272502455,0.3288739770204238,0.6718185758044639,0.6826923076923077,0.4332334044427144
post2017,120,AR1,0,0.18235986991894879,0.32628208420732874,0.7266296634102029,0.7019230769230769,0.42703614591618444
post2017,120,AR3,0,0.1932550110177456,0.3339387466914425,0.8005305841420481,0.6538461538461539,0.4396077922623137
post2017,120,ARMAX,0,0.19652160549098122,0.34710883584829616,0.654809804741549,0.6538461538461539,0.44330757436680596
post2017,120,CRL,0,0.19304435615477614,0.33423706867856773,0.7937923161926453,0.6538461538461539,0.43936813283939485
post2017,120,CRL,1,0.1933748235902487,0.33397218970438536,0.8005341553149646,0.6538461538461539,0.4397440432686368
post2017,120,CRL,2,0.19314910939538502,0.33383600090209775,0.7998457191223752,0.6538461538461539,0.4394873256367981
post2017,120,CRL,3,0.19318151627304006,0.3338711925842127,0.7994630770577195,0.6538461538461539,0.4395241930463442
post2017,120,CRL,4,0.19322828213347698,0.33389312735731147,0.8002636363272604,0.6538461538461539,0.43957739038021165
post2017,120,CRLX,0,0.19694525882150915,0.34150981896196936,0.6793835053479756,0.625,0.44378514939270913
post2017,120,CRLX,1,0.19771856503378307,0.34323452848398844,0.8025480661598964,0.6346153846153846,0.44465555774529913
post2017,120,CRLX,2,0.20276997561811705,0.3524507252141236,0.7840692411263745,0.6442307692307693,0.4502998729936719
post2017,120,CRLX,3,0.21576102707967657,0.35754481625949336,0.8248885199733264,0.6634615384615384,0.46450083646822055
post2017,120,CRLX,4,0.20137870800306454,0.3467409730517085,0.6957726456741977,0.6057692307692307,0.4487523905262952
post2017,120,QR1,0,0.18235219886252457,0.3283042255451132,0.6538150934044025,0.6634615384615384,0.42702716408037156
post2017,120,QR1,1,0.18707529312663568,0.3309629164499712,0.6901044332985753,0.6442307692307693,0.4325220146150201
post2017,120,QR1,2,0.18852175047771308,0.33169509823536103,0.6653244798347302,0.6730769230769231,0.4341909147802532
