window,model,mse_log_rv,qlike_variance,successful_records,months,flagged_input_history
120,AR1,0.18107890532598148,0.7698079681793711,90,90,False
120,AR3,0.18867159063273467,0.8472984222597407,90,90,False
120,ARMAX,0.18106525408366028,0.6584437255799291,90,90,False
120,CRL,0.18846636104661,0.8445265447235414,450,90,False
120,CRLX,0.19583695091715603,0.7752459339305203,450,90,False
120,HAR,0.191906423933644,0.8843978891371179,90,90,False
120,HARX,0.18344771644854857,0.7118311117736401,90,90,False
120,LSTM,0.23559220983903847,1.2766621331892827,450,90,False
120,LSTMX,0.22807055049596142,1.2585028474224247,450,90,False
120,Persistence,0.200523393220558,0.7107387638165619,90,90,False
120,QR1,0.1827213538934843,0.6972865786876983,450,90,False
120,QR2,0.20825774331634836,0.7775502776514213,450,90,False
571,AR1,0.17067771794407477,0.6143106639120962,90,90,False
571,AR3,0.17942575903446187,0.750265127657499,90,90,False
571,ARMAX,0.1733025607656723,0.6518098700706668,90,90,False
571,CRL,0.1793295696332408,0.7512558296850937,450,90,False
571,CRLX,0.1712251692812444,0.654924922687313,450,90,False
571,HAR,0.1844662401375314,0.7844959092974896,90,90,False
571,HARX,0.17537687044250622,0.7052191095679871,90,90,False
571,LSTM,0.19362574458561987,0.8847525363402927,450,90,False
571,LSTMX,0.17601743159679792,0.7237366345397103,450,90,False
571,Persistence,0.200523393220558,0.7107387638165619,90,90,False
571,QR1,0.1696942047889205,0.6367676230464302,450,90,False
571,QR2,0.17590498053506157,0.681382621575766,450,90,False
120,AR1,0.19059464230231013,0.4490548470369789,14,14,True
120,AR3,0.22271985634995856,0.49988019624259555,14,14,True
120,ARMAX,0.29588386453804444,0.6314488850662487,14,14,True
120,CRL,0.22359798048437005,0.5046934413137542,70,14,True
120,CRLX,0.2484145668731348,0.6421739353224283,70,14,True
120,HAR,0.1960621237211107,0.4155697263133456,14,14,True
120,HARX,0.21497060878808466,0.4145951302883315,14,14,True
120,LSTM,0.28064093124969836,0.803859245941295,70,14,True
120,LSTMX,0.24447666634962875,0.6358229010609397,70,14,True
120,Persistence,0.4096432860573444,0.7717046274159631,14,14,True
120,QR1,0.2061138056416332,0.473578495862654,70,14,True
120,QR2,0.2694807307620146,0.696195784883931,70,14,True
571,AR1,0.20810071250327403,0.4459448570596046,14,14,True
571,AR3,0.24177344629502354,0.41669065556414886,14,14,True
571,ARMAX,0.20782290899277292,0.3931920131138,12,12,True
571,CRL,0.24265254229997457,0.41837277490626423,70,14,True
571,CRLX,0.16943988493782158,0.31680209184539654,70,14,True
571,HAR,0.20423672925651834,0.3541505619542718,14,14,True
571,HARX,0.16327558027003114,0.3053974249292377,14,14,True
571,LSTM,0.26022257432036827,0.4172754673056128,70,14,True
571,LSTMX,0.19219576433413765,0.3420573190401864,70,14,True
571,Persistence,0.4096432860573444,0.7717046274159631,14,14,True
571,QR1,0.1823083039003456,0.32870946549052493,70,14,True
571,QR2,0.17675801108442604,0.31622961591535576,70,14,True
